Review,Group
"['great', 'music', 'service', 'audio', 'high', 'quality', 'app', 'easy', 'use', 'also', 'quick', 'friendly', 'support']",Positive Group 0
"['please', 'ignore', 'previous', 'negative', 'rating', 'app', 'super', 'great', 'give', 'five', 'star']",Positive Group 1
"['love', 'selection', 'lyric', 'provide', 'song', 'you', 're', 'listen']",Positive Group 2
"['great', 'app', 'best', 'mp', 'music', 'app', 'ever', 'use', 'one', 'problem', 'ca', 'nt', 'play', 'song', 'find', 'song', 'despite', 'app', 'wonderful', 'recommend', 'best']",Positive Group 3
"['hav', 'music', 'like', 'supertrade_mark']",Positive Group 4
"['improve', 'ia', 'recommend', 'song', 'find', 'similar', 'song', 'it', 'll', 'best', 'music', 'app', 'youtube', 'better', 'everything', 'else', 'spotify', 'king']",Positive Group 5
"['always', 'favorite', 'platform', 'listen', 'music', 'do', 'nt', 'like', 'subscribe', 'alot', 'thing', 'one', 'must']",Positive Group 6
"['voice', 'sweet', 'hearable']",Positive Group 7
"['amazing', 'music', 'experience']",Positive Group 8
"['like', 'everything', 'like', 'listen', 'commercial', 'even', 'better', 'even', 'like', 'song', 'i', 've', 'want', 'know', 'name', 'bring', 'thanks', 'spotify']",Positive Group 9
"['jammin', 'hyuh', 'old', 'school', 'hardcore', 'thrash', 'have', 'nt', 'hear', 'year', 'return', 'youth', 'yes', 'please']",Positive Group 10
"['everything', 'perfect', 'add', 'light', 'theme']",Positive Group 11
"['best', 'music', 'app', 'ever', 'see']",Positive Group 12
"['good', 'app', 'listen', 'music']",Positive Group 13
"['wide', 'range', 'song', 'collection']",Positive Group 14
"['spotify', 'awesome', 'love', 'obscure', 'artist', 'think', 'fingertip', 'well', 'easy', 'access', 'newer', 'thing', 'update', 'lose', 'star', 'constantly', 'ask', 'review', 'i', 've', 'already', 'do']",Positive Group 15
"['best', 'app', 'stream', 'music']",Positive Group 16
"['love', 'app', 'style', 'music', 'selection', 'specific']",Positive Group 17
"['pretty', 'good', 'apps', 'better', 'quality', 'music']",Positive Group 18
"['best', 'birthday', 'present', 'ever', 'receive', 'baby', 'brother', 'listen', 'something', 'least', 'everyday', 'happy', 'selection', 'christian', 'artist', 'music', 'love', 'find', 'new', 'artist', 'let', 'listen', 'great', 'podcasts', 'thank', 'much', 'wonderful', 'app']",Positive Group 19
"['sound', 'quality', 'really', 'good', 'listen', 'favourite', 'song', 'anytime', 'anywhere', 'without', 'disturbance', 'that', 's', 'really', 'good', 'experience', 'love', 'app', 'alot', 'keep', 'provide', 'u', 'best', 'service']",Positive Group 20
"['pay', 'customer', 'nothing', 'say', 'spotify', 'perfecto']",Positive Group 21
"['spotify', 'better', 'joox', 'fosho']",Positive Group 22
"['great', 'listen', 'favorite', 'artist']",Positive Group 23
"['app', 'incredible', 'good', 'use', 'enjoy', 'music', 'everyday', 'every', 'minute', 'every', 'second', 'love']",Positive Group 24
"['app', 'good', 'cool', 'interested', 'app', 'love', 'much', 'iam', 'listen', 'every', 'day', 'night', 'spotify', 'full', 'support', 'app', 'suggest', 'try', 'app', 'fun', 'spotify', 'say', 'try', 'spotify', 'try', 'army', 'blink', 'app', 'good', 'army', 'blink', 'today', 'special', 'day', 'army', 'army', 'day', 'love', 'army', 'love', 'blink', 'happy', 'app', 'spotify', 'try', 'spotif', 'love', 'spotify']",Positive Group 25
"['love', 'app', 'small', 'issue', 'though', 'find', 'song', 'add', 'like', 'look', 'song', 'take', 'whole', 'different', 'playlist', 'please', 'fix']",Positive Group 26
"['bring', 'back', 'shuffle', 'album', 'option', 'trade_mark']",Positive Group 27
"['quality', 'sound', 'selection', 'they', 're', 'add', 'louder', 'music', 'sometimes']",Positive Group 28
"['great', 'music', 'quality']",Positive Group 29
"['love', 'hear', 'ad', 'satisfy', 'sometimes', 'music', 'play', 'interrupt', 'ad', 'request', 'fix', 'problem', 'enjoy', 'ad', 'peacefully', 'great', 'apptrade_mark']",Positive Group 30
"['first', 'time', 'user', 'far', 'easy', 'enough', 'navigate']",Positive Group 31
"['awesome', 'song', 'ca', 'nt', 'find']",Positive Group 32
"['work', 'really', 'well', 'android', 'auto', 'long', 'drive', 'home']",Positive Group 33
